Số thứ tự,Tên đơn vị hành chính,Tỉnh/Thành phố,Chú thích,Dân số (người),Diện tích (km²),Mật độ dân số (người/km²),Số ĐVHC cấp xã
585,Thanh Thủy,Phú Thọ,,84622,125.7,673,11
586,Thanh Trì,Hà Nội,,275745,63.5,4342,16
587,Thạnh Trị,Sóc Trăng,,73596,287.5,256,10
588,Thanh Xuân,Hà Nội,quận,293524,9.1,32255,11
589,Tháp Mười,Đồng Tháp,,131791,530,249,13
590,Thiệu Hóa,Thanh Hóa,,160732,159.9,1005,25
591,Thọ Xuân,Thanh Hóa,,195998,292.3,671,30
592,Thoại Sơn,An Giang,,163427,470.8,347,17
593,Thới Bình,Cà Mau,,135892,636.4,214,12
594,Thới Lai,Cần Thơ,,109684,266.9,411,13
595,Thống Nhất,Đồng Nai,,163905,247.2,663,10
596,Thốt Nốt,Cần Thơ,quận,15536,122,1273,9
597,Thủ Dầu Một,Bình Dương,thành phố,321607,118.9,2705,14
598,Thủ Đức,TP Hồ Chí Minh,thành phố,1013795,211.6,11138,34
599,Thủ Thừa,Long An,,98333,299.1,329,12
600,Thuận An,Bình Dương,thành phố,508433,83.7,6074,10
601,Thuận Bắc,Ninh Thuận,,43322,318.3,136,6
602,Thuận Châu,Sơn La,,172763,1533.4,113,29
603,Thuận Nam,Ninh Thuận,,57006,563.3,101,8
604,Thuận Thành,Bắc Ninh,thị xã,171942,117.8,146,18
605,Thường Tín,Hà Nội,,254702,130.4,1953,29
606,Thường Xuân,Thanh Hóa,,89131,1107.2,81,16
607,Thủy Nguyên,Hải Phòng,,33381,261.9,1275,37
608,Tiên Du,Bắc Ninh,,17646,95.6,1846,14
609,Tiền Hải,Thái Bình,,215535,231.3,932,32
610,Tiên Lãng,Hải Phòng,,154789,193.4,800,21
611,Tiên Lữ,Hưng Yên,,93118,78.6,1185,15
612,Tiên Phước,Quảng Nam,,66239,454.6,146,15
613,Tiên Yên,Quảng Ninh,,5083,652.1,78,11
614,Tiểu Cần,Trà Vinh,,107846,227.2,475,11
615,Tịnh Biên,An Giang,thị xã,143098,354.6,306,14
616,Trà Bồng,Quảng Ngãi,,53379,760.3,70,16
617,Trà Cú,Trà Vinh,,146329,317.5,461,17
618,Trà Ôn,Vĩnh Long,,129589,267.2,485,14
619,Trà Vinh,Trà Vinh,thành phố,112584,67.9,1658,10
620,Trạm Tấu,Yên Bái,,33962,743.4,46,11
621,Trần Đề,Sóc Trăng,,112463,378,298,11
622,Trần Văn Thời,Cà Mau,,197679,697.5,283,13
623,Trấn Yên,Yên Bái,,84675,629.1,135,21
624,Trảng Bàng,Tây Ninh,thị xã,161831,340.1,476,10
625,Trảng Bom,Đồng Nai,,349279,323.7,1079,17
626,Tràng Định,Lạng Sơn,,59827,1016.7,59,22
627,Tri Tôn,An Giang,,117431,600.2,196,15
628,Triệu Phong,Quảng Trị,,88852,353.8,251,18
629,Triệu Sơn,Thanh Hóa,,202386,290.1,698,34
630,Trực Ninh,Nam Định,,172557,144,1198,21
631,Trùng Khánh,Cao Bằng,,70424,688,102,21
632,Trường Sa,Khánh Hòa,huyện đảo,93,496.3,52,3
633,Tứ Kỳ,Hải Dương,,152541,165.3,923,23
634,Tu Mơ Rông,Kon Tum,,27411,859.3,32,11
635,Tư Nghĩa,Quảng Ngãi,,128661,206.3,624,14
636,Từ Sơn,Bắc Ninh,thành phố,17641,61.1,2887,12
637,Tủa Chùa,Điện Biên,,5746,685.3,84,12
638,Tuần Giáo,Điện Biên,,87883,1137.8,77,19
639,Tương Dương,Nghệ An,,7783,2811.3,28,17
640,Tuy An,Phú Yên,,123167,407.6,302,15
641,Tuy Đức,Đắk Nông,,61312,1119.3,55,6
